Daily Price,aapl,Daily Price,amd,Daily Price,amzn,Daily Price,ebay
1/2/2018 16:00:00,172.26,1/2/2018 16:00:00,10.98,1/2/2018 16:00:00,1189.01,1/2/2018 16:00:00,38.06
1/3/2018 16:00:00,172.23,1/3/2018 16:00:00,11.55,1/3/2018 16:00:00,1204.2,1/3/2018 16:00:00,39.22
1/4/2018 16:00:00,173.03,1/4/2018 16:00:00,12.12,1/4/2018 16:00:00,1209.59,1/4/2018 16:00:00,38.57
1/5/2018 16:00:00,175,1/5/2018 16:00:00,11.88,1/5/2018 16:00:00,1229.14,1/5/2018 16:00:00,39.69
1/8/2018 16:00:00,174.35,1/8/2018 16:00:00,12.28,1/8/2018 16:00:00,1246.87,1/8/2018 16:00:00,39.8
1/9/2018 16:00:00,174.33,1/9/2018 16:00:00,11.82,1/9/2018 16:00:00,1252.7,1/9/2018 16:00:00,39.53
1/10/2018 16:00:00,174.29,1/10/2018 16:00:00,11.96,1/10/2018 16:00:00,1254.33,1/10/2018 16:00:00,37.7
1/11/2018 16:00:00,175.28,1/11/2018 16:00:00,12.14,1/11/2018 16:00:00,1276.68,1/11/2018 16:00:00,37.81
1/12/2018 16:00:00,177.09,1/12/2018 16:00:00,12.02,1/12/2018 16:00:00,1305.2,1/12/2018 16:00:00,38.02
1/16/2018 16:00:00,176.19,1/16/2018 16:00:00,11.91,1/16/2018 16:00:00,1304.86,1/16/2018 16:00:00,37.68
1/17/2018 16:00:00,179.1,1/17/2018 16:00:00,12.18,1/17/2018 16:00:00,1295,1/17/2018 16:00:00,37.99
1/18/2018 16:00:00,179.26,1/18/2018 16:00:00,12.47,1/18/2018 16:00:00,1293.32,1/18/2018 16:00:00,38.74
1/19/2018 16:00:00,178.46,1/19/2018 16:00:00,12.59,1/19/2018 16:00:00,1294.58,1/19/2018 16:00:00,38.43
1/22/2018 16:00:00,177,1/22/2018 16:00:00,12.65,1/22/2018 16:00:00,1327.31,1/22/2018 16:00:00,39.58
1/23/2018 16:00:00,177.04,1/23/2018 16:00:00,12.94,1/23/2018 16:00:00,1362.54,1/23/2018 16:00:00,39.77
1/24/2018 16:00:00,174.22,1/24/2018 16:00:00,12.71,1/24/2018 16:00:00,1357.51,1/24/2018 16:00:00,39.82
1/25/2018 16:00:00,171.11,1/25/2018 16:00:00,12.41,1/25/2018 16:00:00,1377.95,1/25/2018 16:00:00,40.02
1/26/2018 16:00:00,171.51,1/26/2018 16:00:00,12.95,1/26/2018 16:00:00,1402.05,1/26/2018 16:00:00,40.89
1/29/2018 16:00:00,167.96,1/29/2018 16:00:00,13.32,1/29/2018 16:00:00,1417.68,1/29/2018 16:00:00,40.8
1/30/2018 16:00:00,166.97,1/30/2018 16:00:00,12.87,1/30/2018 16:00:00,1437.82,1/30/2018 16:00:00,40.4
1/31/2018 16:00:00,167.43,1/31/2018 16:00:00,13.74,1/31/2018 16:00:00,1450.89,1/31/2018 16:00:00,40.58
2/1/2018 16:00:00,167.78,2/1/2018 16:00:00,13.25,2/1/2018 16:00:00,1390,2/1/2018 16:00:00,46.19
2/2/2018 16:00:00,160.5,2/2/2018 16:00:00,12.45,2/2/2018 16:00:00,1429.95,2/2/2018 16:00:00,44.3
2/5/2018 16:00:00,156.49,2/5/2018 16:00:00,11.57,2/5/2018 16:00:00,1390,2/5/2018 16:00:00,42.37
2/6/2018 16:00:00,163.03,2/6/2018 16:00:00,11.65,2/6/2018 16:00:00,1442.84,2/6/2018 16:00:00,42.79
2/7/2018 16:00:00,159.54,2/7/2018 16:00:00,11.6,2/7/2018 16:00:00,1416.78,2/7/2018 16:00:00,42.33
2/8/2018 16:00:00,155.15,2/8/2018 16:00:00,11.22,2/8/2018 16:00:00,1350.5,2/8/2018 16:00:00,41.02
2/9/2018 16:00:00,156.41,2/9/2018 16:00:00,11.31,2/9/2018 16:00:00,1339.6,2/9/2018 16:00:00,41.66
2/12/2018 16:00:00,162.71,2/12/2018 16:00:00,11.68,2/12/2018 16:00:00,1386.23,2/12/2018 16:00:00,42.32
2/13/2018 16:00:00,164.34,2/13/2018 16:00:00,11.78,2/13/2018 16:00:00,1414.51,2/13/2018 16:00:00,42.15
2/14/2018 16:00:00,167.37,2/14/2018 16:00:00,12.2,2/14/2018 16:00:00,1451.05,2/14/2018 16:00:00,42.44
2/15/2018 16:00:00,172.99,2/15/2018 16:00:00,12.19,2/15/2018 16:00:00,1461.76,2/15/2018 16:00:00,43.01
